solvent1,T1,solvent2,T2,yield,cost,environment cost,objective
1,288,4,328,1.026925332763069,0.9354058580022654,0.799518005352302,1.1863887338488541
4,290,3,318,1.0547509920276512,0.9470091287327264,0.7122285740206286,1.279883132678625
3,282,4,327,0.9991261808376888,1.4720213990417246,1.3675805186301777,0.5784514028394263
1,292,4,328,1.026925332763069,0.9313163865007781,0.799518005352302,1.188433469599598
1,298,2,309,1.0835604247512254,1.1797654034287648,1.1293075820302554,1.0125843567729407
1,288,1,313,0.9999919637491994,1.0083824865364845,0.9999989786337392,0.995793194913287
3,287,3,307,1.0569252468833268,1.4687617991919701,1.4165171453539414,0.6712110214936978
4,284,2,321,1.0517880966369917,1.1747364767078015,0.962335268149506,1.0350403208453296
2,302,4,305,1.0408588477135916,0.952144298277288,0.7387179856262726,1.236286553475403
2,302,3,321,1.095207814726618,0.9527437462649734,0.8260255683874099,1.3010309721270443
1,303,3,320,1.0828524480795734,0.9527081366768241,0.8821650003300199,1.2482683276557247
